0.31883| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.33999| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.34034| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.37093| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.37122| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.3968| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.39703| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.41207| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.4123| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.43325| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.4337| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.4504| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.45164| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.46603| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.46634| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.48126| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.48195| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.49948| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.50007| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.51614| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.51654| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.53095| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.53118| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.54962| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.55021| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.56494| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.56553| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.58304| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.5835| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.59863| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.59897| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.61383| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.61404| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.62898| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.62916| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.64419| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.64442| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.65979| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.66017| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.67534| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.67557| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.69089| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.69117| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.70655| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.70676| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.72188| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.72296| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.73888| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.7392| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.75428| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.75467| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.77043| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.77078| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.7894| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.80465| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.82879| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.82903| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.84392| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.84415| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.86962| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.87012| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.88055| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.8808| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.90224| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.90251| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.91664| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.91692| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.94655| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.94676| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.95223| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.95264| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.96768| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.9679| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.98321| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.9837| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
0.99918| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
0.9997| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.01635| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
1.01685| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.03218| Arms/update|  | Current Arms State: STORED | Wanted Arms State: STORED
1.03251| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.0328| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.04959| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.04974| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.04984| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.06632| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.06683| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.06698| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.08113| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.08134| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.08146| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.09957| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.10009| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.10035| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.11629| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.11684| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.11707| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.13184| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.13205| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.1322| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.14922| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
1.14952| Lift/update|  | Current Lift State: DOWN | Wanted Lift State: DOWN | inPosition: true
1.14968| +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Move Arms Back
1.16461| Arms/update|  | Current Arms State: STORED | Wanted Arms State: GRABGOLDGOLD | Left Arm Moving To Position
